villager,magic,soldier,lady,soldier2,dark,witch,nohair,cow,soldier3
2,,,,,,,,,
3,,,,,,,,,
4,1,,,,,,,,
5,2,,,,,,,,
6,3,,,,,,,,
7,4,1,,,,,,,
8,5,2,,,,,,,
9,6,3,,,,,,,
10,7,4,1,,,,,,
11,8,5,2,,,,,,
12,9,6,3,,,,,,
13,10,7,4,1,,,,,
14,11,8,5,2,,,,,
15,12,9,6,3,,,,,
16,13,10,7,4,1,,,,
17,14,11,8,5,2,,,,
18,15,12,9,6,3,,,,
19,16,13,10,7,4,1,,,
20,17,14,11,8,5,2,,,
21,18,15,12,9,6,3,,,
22,19,16,13,10,7,4,1,,
23,20,17,14,11,8,5,2,,
24,21,18,15,12,9,6,3,,
25,22,19,16,13,10,7,4,1,
26,23,20,17,14,11,8,5,2,
27,24,21,18,15,12,9,6,3,
28,25,22,19,16,13,10,7,4,1
29,26,23,20,17,14,11,8,5,2
30,27,24,21,18,15,12,9,6,3
